SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
21304135854,16,9,4,9,0,0,0,0,0,38,202,49,100,104,74,31,17,6,0,583
21304135855,24,15,9,11,7,3,0,3,0,72,212,92,101,127,61,43,27,9,0,672
21304135856,37,4,13,15,9,0,3,0,0,81,198,55,93,98,39,23,17,9,0,532
21304135857,13,0,11,9,0,0,0,0,0,33,144,33,83,62,31,18,12,0,0,383
21304135858,3,3,0,6,4,0,0,0,0,16,119,56,77,68,33,14,8,7,0,382
21304135859,7,4,4,8,4,0,4,0,0,31,109,40,75,57,19,19,11,5,0,335
21304135860,14,0,3,8,3,0,3,0,0,31,97,31,83,49,25,15,4,7,0,311
21304135861,6,10,10,4,3,0,0,0,0,33,111,40,63,71,35,14,6,0,0,340
21304135903,14,14,9,10,9,6,5,0,0,67,73,53,74,47,54,45,38,4,0,388
21304135904,15,8,11,3,18,9,13,3,0,80,48,33,57,45,74,85,56,20,0,418
21304135905,0,344,881,642,291,98,16,14,0,2286,0,344,881,642,291,98,16,14,0,2286
21304135907,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,10
21304135909,0,0,0,0,0,0,0,0,0,0,93,20,75,62,7,6,5,0,3,271
21304135910,5,0,0,4,0,0,0,0,0,9,47,15,64,40,15,9,8,0,0,198
21304135911,0,0,0,0,0,0,0,0,0,0,21,13,36,17,11,0,0,0,0,98
21304135912,11,4,8,10,3,0,0,0,0,36,195,52,98,155,52,12,14,0,0,578
21304135913,0,6,4,0,3,0,0,0,0,13,30,19,25,23,16,10,21,4,0,148
21304135914,10,0,12,3,3,0,0,0,0,28,108,29,109,74,26,25,11,0,0,382
21304135915,7,0,4,0,0,0,0,0,0,11,174,37,99,117,36,25,9,0,0,497
21304135916,3,0,8,4,0,3,0,0,0,18,25,11,48,25,4,8,0,0,0,121
21304135917,3,8,10,6,4,0,0,0,0,31,174,47,117,127,38,22,21,0,0,546
21304135918,4,6,5,0,3,0,4,0,0,22,124,59,72,94,47,26,14,0,0,436
21304135919,3,0,0,10,3,0,0,0,0,16,102,38,130,82,30,12,4,0,0,398
21304135920,0,0,0,0,0,0,0,0,0,0,23,10,36,20,8,6,0,0,0,103
21304135921,6,4,11,0,3,0,0,0,0,24,131,46,133,85,32,22,15,4,0,468
21304135922,5,0,11,10,4,0,0,0,0,30,83,26,86,57,28,9,0,6,0,295
21304135923,12,5,9,12,0,8,0,0,0,46,142,47,124,94,27,25,11,0,0,470
21304135924,7,3,10,8,0,0,3,0,0,31,148,40,97,126,37,11,15,0,0,474
21304135925,8,6,3,0,7,0,0,0,0,24,91,21,64,61,19,21,6,0,0,283
